CTW_190,SLM_01,CTW_140A,DUR07,AGEGR10,SEX,MARSTAT,CXRFLAG,HHINCG1,LUC_RST,PRV
6,5,6,10,5,1,4,2,4,2,46
6,6,6,180,3,1,1,2,8,1,48
6,6,6,0,7,1,3,2,4,1,24
6,10,6,20,7,1,1,2,4,1,35
1,10,1,30,4,1,1,2,5,2,59
6,8,6,0,5,2,1,2,4,1,24
1,7,2,120,4,1,1,1,7,1,35
4,7,1,60,3,1,4,1,8,1,35
6,99,6,170,5,2,2,2,7,1,24
2,4,2,45,4,2,6,1,2,1,46
6,2,2,95,4,1,4,2,3,1,35
6,9,6,190,7,2,1,2,3,1,10
6,10,6,110,6,2,3,1,4,1,35
6,7,6,40,6,2,6,2,2,1,24
6,7,6,280,7,2,1,2,5,1,47
1,8,1,150,4,2,1,1,8,1,12
6,9,6,110,5,2,1,1,8,1,35
6,5,6,120,7,1,1,2,4,2,35
6,10,6,100,7,1,1,2,4,1,35
4,10,1,20,5,2,1,2,4,1,59
3,8,2,0,3,2,6,2,3,1,10
4,7,2,60,2,1,6,2,2,1,24
6,8,6,25,3,1,1,1,1,1,46
6,10,6,40,7,2,1,1,1,1,48
1,7,1,110,4,2,4,1,3,1,59
6,5,6,0,4,2,6,2,5,1,46
6,10,6,20,7,2,1,2,3,1,13
1,6,1,150,4,1,1,2,8,1,35
1,10,1,210,4,2,6,1,5,1,35
6,7,6,200,3,2,1,1,8,1,24
6,10,6,0,6,1,4,2,1,1,24
4,8,1,80,2,2,1,2,8,2,46
4,7,1,20,4,1,1,1,6,1,24
3,7,1,30,4,1,6,2,3,1,35
1,10,1,130,5,1,1,1,8,1,10
6,7,6,0,5,2,5,2,2,1,13
4,10,1,90,4,1,2,2,5,2,48
6,9,6,0,6,2,1,2,4,2,47
4,9,1,60,4,1,5,2,4,2,59
4,6,1,85,2,1,2,2,3,2,13
6,99,6,0,6,1,5,2,1,1,24
4,7,1,25,7,1,2,2,5,1,59
3,8,1,35,6,2,5,2,8,1,35
6,5,6,0,5,2,3,2,3,1,59
4,7,1,20,4,1,1,1,8,1,24
6,7,6,0,5,1,6,2,1,1,35
6,10,2,320,4,1,1,1,7,1,35
6,3,6,100,5,1,2,2,8,1,59
6,3,6,0,4,1,6,2,7,1,10
6,8,2,130,5,2,1,2,5,3,11
1,7,1,150,4,1,6,2,3,1,35
